,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
109,216,"[[[-9.15615531149724, 38.7318195583669], [-9.15606168818002, 38.7318397115362], [-9.15603399222151, 38.7317270859474], [-9.15603107898502, 38.7317152388735], [-9.15602776869321, 38.7317017751405], [-9.15599999547955, 38.7316746108093], [-9.1558199596219, 38.7315755678493], [-9.15577256360917, 38.7315497202042], [-9.15569380920654, 38.7315067711169], [-9.15569102353084, 38.7315052798919], [-9.15566254064814, 38.7314900368802]]]",[-9.15590452 38.73164594],Percurso Ciclopedonal,Ponte ciclopedonal sobre a Rua Marquês da Fronteira - Palácio da Justiça - Jardim Amália Rodrigues,"(38.73164594151058, -9.155904521061194)",São Sebastião da Pedreira,Lisboa,Lisboa
110,217,"[[[-9.19372219551906, 38.7266425822581], [-9.19345162475213, 38.7264630664116], [-9.19336068560097, 38.7264174904204], [-9.19326932513993, 38.7263967589518], [-9.19308358138695, 38.7263631486186], [-9.19287822202142, 38.7263571699736], [-9.1926479775259, 38.7263612213799], [-9.19254527583441, 38.7263760786367], [-9.1923731999485, 38.7264009736455], [-9.1921006933121, 38.7264250164564], [-9.19180042334353, 38.726433622445], [-9.19159776790703, 38.7264413433054], [-9.19141246073528, 38.726437140528], [-9.19118163592806, 38.726401975809], [-9.19099085891455, 38.7263664473502], [-9.1908679235696, 38.7263479514642], [-9.19076285571565, 38.726352824926], [-9.19047107841981, 38.7264280236469], [-9.19034124221683, 38.7264507706451], [-9.19025113400731, 38.7264515877933], [-9.19017336775148, 38.7264405254563], [-9.19009036521587, 38.726413823764], [-9.18999944762427, 38.7263597405598], [-9.18988067956392, 38.7262843392315], [-9.1897822242088, 38.726228363027], [-9.18969174140179, 38.7262036894158], [-9.18958405495881, 38.7262007424861], [-9.18936911775572, 38.7262242576504], [-9.18899870463483, 38.726229569831], [-9.18839437201059, 38.7263291612313], [-9.1883020790983, 38.7263515669646], [-9.18824019775165, 38.7263991893738], [-9.18818594040679, 38.7264545851712], [-9.18813257958061, 38.7265707644803], [-9.18810675032123, 38.7266866941117], [-9.18811619520814, 38.7271340917783], [-9.18812164977855, 38.7272253528438], [-9.18809021054024, 38.7272633645292], [-9.18803819628863, 38.7273010916677], [-9.18797332085715, 38.7273154056054], [-9.18791307534261, 38.7273041836186], [-9.18786965707, 38.7272457483862], [-9.18783055250735, 38.7271402098187], [-9.18776892089236, 38.7270348743296], [-9.18769439935131, 38.7269041638065], [-9.18758768578378, 38.7267972763765], [-9.18740161863728, 38.7265714870174], [-9.18730991681644, 38.7264821032953], [-9.18722096384039, 38.7263731008782], [-9.18716922896486, 38.7262598331345], [-9.18710823425537, 38.726197632967], [-9.18701265979734, 38.7261671208475], [-9.18684216943792, 38.7261490510061], [-9.18663683881846, 38.7261450213131], [-9.18644649748787, 38.7261388954785], [-9.18617652230396, 38.7261648628184], [-9.18574520789838, 38.7262844499603], [-9.18555800258642, 38.7263214347523], [-9.18544836051105, 38.7263557599356], [-9.18536089963668, 38.7263663527404], [-9.1852605784807, 38.7263535306459], [-9.1851452401881, 38.7263408445071], [-9.18503513727699, 38.7263437963367], [-9.18495256862764, 38.7263465021804], [-9.18400822277005, 38.7261353808849], [-9.18385249173073, 38.7260995250122], [-9.1836866052371, 38.7260539557973], [-9.18363277818525, 38.7259681575132], [-9.18357990424596, 38.7255625243468], [-9.18348763828311, 38.7254596162848], [-9.18340950012478, 38.7254230620531], [-9.18321533646261, 38.7253267611612], [-9.18303903669822, 38.7252538298517], [-9.18280304208658, 38.72520692923], [-9.18216562271378, 38.7252695276276], [-9.18195272917796, 38.7252616356393], [-9.18175983034373, 38.7252516033308], [-9.18162682847774, 38.7252292659335], [-9.18149604365382, 38.7251873005097], [-9.18136776243461, 38.7251453112331], [-9.18115207783321, 38.7251178346438], [-9.18092134824745, 38.725088530989], [-9.18080336531467, 38.7250660582811], [-9.18066530323862, 38.7250398438508], [-9.18047231726785, 38.7250239266654], [-9.18025180062853, 38.7250082575694], [-9.18006920097903, 38.7250177390619], [-9.1799594726654, 38.7250461765236], [-9.1798439933373, 38.7250236806751], [-9.17975360126016, 38.7250048823849], [-9.17962321888151, 38.7249903633427], [-9.17948354163462, 38.7250021666787], [-9.17940012317902, 38.7250092156004], [-9.17932036266323, 38.7249930783484], [-9.17908192553235, 38.7249501134053], [-9.17899426433365, 38.7249469764994], [-9.17887167753501, 38.7249519972307], [-9.178701564468, 38.7249594042803], [-9.17847135141351, 38.724965387948], [-9.17819125041971, 38.7249835842377], [-9.17805407408257, 38.725018148345], [-9.17795916258121, 38.7250327248494], [-9.17784422763217, 38.7250474800617], [-9.17771151412538, 38.7250447454349], [-9.17755106603247, 38.7250656048462], [-9.17748936075562, 38.7251165654473], [-9.17739481666523, 38.7251531625864], [-9.17721683435628, 38.7252053993282], [-9.17706923037533, 38.7252543863066], [-9.17675678553971, 38.7254746573447], [-9.17657851127833, 38.7256274792949], [-9.17652185812661, 38.7256907367963], [-9.17648787306279, 38.7257635954755], [-9.17648851176496, 38.7258554077336], [-9.17653256604482, 38.7259102685273], [-9.17657824807195, 38.7259530016231], [-9.17665220547098, 38.7260464661647], [-9.17670686346444, 38.726224422342], [-9.17671169460403, 38.7263677095163], [-9.17676306925514, 38.7264279276354], [-9.17685135568127, 38.7264837424967], [-9.17710026357513, 38.7266006807374], [-9.17722947185571, 38.7266648869763], [-9.17732737474694, 38.7266836196543], [-9.17744524449199, 38.7266982532854], [-9.17753071919128, 38.7267229806882], [-9.17760891124857, 38.7267634615951], [-9.17772334853091, 38.7268859778172], [-9.17795996118349, 38.7271351934461], [-9.17801191704459, 38.7273075180479], [-9.17805713643934, 38.7275394861594], [-9.17809244651822, 38.7276136492479], [-9.17815770103878, 38.7276547729858], [-9.17827265036086, 38.727713326319], [-9.17843397251451, 38.7278221094436], [-9.17850390007117, 38.7279227750509], [-9.17863254510807, 38.7283982850465], [-9.17871688164191, 38.7287043814388], [-9.17878378906259, 38.7288586968715], [-9.17885743384787, 38.7289533699764], [-9.17900726295582, 38.7290562968332], [-9.17921413688089, 38.7291587133689], [-9.17936698612482, 38.7292079884632], [-9.17958833101083, 38.7292596293758], [-9.18029773598057, 38.729396264225], [-9.18053813952364, 38.7294507116406], [-9.18064505251719, 38.7294795432806], [-9.18071848260513, 38.729559320428], [-9.18079445582365, 38.7297564138897], [-9.18081581057459, 38.7298434522097], [-9.1808162920716, 38.7298763370005], [-9.18080028678818, 38.7299137614241], [-9.18076817830499, 38.7299568488218], [-9.18033383837352, 38.7303045793231], [-9.18027925943181, 38.7303544822221], [-9.18022534165015, 38.7304276984456], [-9.18023446314355, 38.730551243426], [-9.18024169278495, 38.7306003640906]]]",[-9.18328508 38.7265842 ],Trilho,Estrada Bela Vista,"(38.72658420291162, -9.183285080194413)",None,Lisboa,Lisboa
111,219,"[[[-9.15012087318629, 38.7507863644272], [-9.15015612577298, 38.7507717966809], [-9.15023286974602, 38.750740031922], [-9.15027221146387, 38.7507232314335], [-9.15029511670699, 38.7507137932858], [-9.15041420816083, 38.7506749253661], [-9.15041772025808, 38.7506734878484], [-9.15042086468855, 38.7506716023837], [-9.15042354849454, 38.7506693247115], [-9.15042569233561, 38.7506667221658], [-9.15042723283414, 38.7506638716846], [-9.15043453523908, 38.7506463026467], [-9.15043532228414, 38.7506438235721], [-9.15043565367172, 38.7506412827519], [-9.15043552279235, 38.750638730862], [-9.1504349322564, 38.7506362187994], [-9.15043389384199, 38.7506337966668], [-9.15041718607601, 38.7506024059541], [-9.15037434631843, 38.7505219181058], [-9.15033813972088, 38.7504538920438], [-9.15031959040858, 38.7504212577261], [-9.15033210843207, 38.7504168069538], [-9.15035605572092, 38.750409120211], [-9.15040120504711, 38.7503947786745]]]",[-9.15036479 38.75061731],Pista Ciclável Bidirecional,Jardim Campo Grande - Avenida Professor Aníbal Bettencourt,"(38.75061731195323, -9.150364789810732)",Alvalade,Lisboa,Lisboa
112,222,"[[[-9.15803563450723, 38.7352305171078], [-9.15798205449212, 38.7354193249641], [-9.1579426507905, 38.7355558828646]]]",[-9.15798678 38.73540191],30+Bici,Rua Dr. Júlio Dantas,"(38.73540190831217, -9.157986779929951)",Campolide,Lisboa,Lisboa
113,224,"[[[-9.09860433588331, 38.7959133482792], [-9.09897830273945, 38.7959955422523], [-9.09920274052497, 38.7960490462084], [-9.0992187628764, 38.7961027818672], [-9.09916984332096, 38.7961615444113], [-9.09915751214704, 38.7962394547142], [-9.09921159072717, 38.7962794075158], [-9.09964464606776, 38.7963476433345]]]",[-9.09914847 38.7961361 ],30+Bici,Rua Roald Amundsen,"(38.796136096072864, -9.099148466785882)",Parque das Nações,Lisboa,Sacavém e Prior Velho
114,230,"[[[-9.19166036880423, 38.760370282623], [-9.19149364867402, 38.7605913202623], [-9.19132157458471, 38.7608098235952], [-9.19127435554011, 38.7608701100415], [-9.1912722858217, 38.7608727515344], [-9.19123866008398, 38.7609156829606], [-9.19119064333543, 38.7609786556368], [-9.19117214221577, 38.7610044364815], [-9.19115555244547, 38.7610309964656], [-9.19110755880113, 38.7611078619177], [-9.19106314664641, 38.7611860252891], [-9.19102237361136, 38.7612653851495], [-9.19098625396652, 38.761346115009], [-9.19095348944757, 38.7614277104704], [-9.19092411408894, 38.7615100867725], [-9.19088632321866, 38.7616349479731], [-9.1908530582483, 38.7617605895225], [-9.19078690271749, 38.7620120139046], [-9.19072074628841, 38.7622634388018], [-9.19065458896097, 38.7625148635135], [-9.19063888820644, 38.7625764534739], [-9.19062331812191, 38.7626082195859], [-9.19060180395489, 38.7626378010226], [-9.19058859054895, 38.7626565910154], [-9.19057836223244, 38.76267648094], [-9.19057126662513, 38.7626971837352], [-9.1905556853465, 38.7627571540818], [-9.19048997268516, 38.7630086506017], [-9.19045833132593, 38.7631261776593], [-9.1904424320437, 38.7631832827936], [-9.1904358262414, 38.7632018878811], [-9.19042728465138, 38.7632200075223], [-9.19042553807448, 38.7632236626966], [-9.19042433278735, 38.7632274484277], [-9.19041531460022, 38.763264057559], [-9.19040935787157, 38.7632860881708], [-9.19039048965734, 38.7633557858875], [-9.19038645581693, 38.763365345434], [-9.19038133312966, 38.7633745824893], [-9.19037204039817, 38.7633872677456], [-9.19036069561221, 38.7633988939079], [-9.19034749449122, 38.763409260403], [-9.190304254085, 38.763437758928], [-9.19027026632626, 38.7634566717829], [-9.1902651734257, 38.7634597267203], [-9.19026071073657, 38.7634633314375], [-9.19025697492277, 38.7634674078543], [-9.19025404690376, 38.7634718676739], [-9.19025199010177, 38.7634766142942], [-9.19023736912222, 38.7635180185749], [-9.19019439102408, 38.7636249883362], [-9.19018360315584, 38.7636516656097], [-9.19016236338927, 38.7637046460879], [-9.19015957278385, 38.7637121579348], [-9.19015804339106, 38.7637198871265], [-9.19016082396972, 38.7637466687276], [-9.19015837397109, 38.7637734699385], [-9.19014906439757, 38.7637971697802], [-9.19013760761666, 38.7638202906], [-9.19009811677846, 38.7638918614874], [-9.19001630720553, 38.7640189005289], [-9.18998517968263, 38.764062622965], [-9.18992939761254, 38.7641361877041], [-9.18987067816463, 38.764208349161], [-9.1898090793442, 38.7642790360564], [-9.18979357436936, 38.7642944489906], [-9.18977545688213, 38.7643080193394], [-9.1897550831089, 38.7643194802837], [-9.18973285363917, 38.7643286064791], [-9.18970920554923, 38.7643352184872], [-9.189682399345, 38.7643392329049], [-9.18965515177078, 38.7643405020158], [-9.1896279232874, 38.7643390043732], [-9.18961808802951, 38.7643378420856], [-9.18960814046024, 38.7643378325872], [-9.18959830158104, 38.7643389760891], [-9.18958878997868, 38.7643412471865], [-9.18953129330892, 38.7644110202206], [-9.18953116983818, 38.7644154071155], [-9.18953186384523, 38.7644197615713], [-9.18953336064752, 38.7644239914644], [-9.18953562857848, 38.7644280073066], [-9.18955126555262, 38.7644570587724], [-9.18955828489118, 38.7644819886711], [-9.18956171767676, 38.7645073715501], [-9.18956152161822, 38.7645328946979], [-9.18955695573324, 38.764555246857], [-9.18954890423381, 38.764576992673], [-9.18953748898943, 38.7645978029968], [-9.18951704153693, 38.7646255515777], [-9.18950350074194, 38.7646393014553], [-9.18948836910968, 38.7646520029361], [-9.1894469226391, 38.7646819312591], [-9.18935292202946, 38.7647481786588], [-9.1892700610777, 38.7648026766513], [-9.18918435047146, 38.7648544258268], [-9.18905045962241, 38.7649284426922], [-9.18891375544998, 38.7649992640101], [-9.18885914866049, 38.7650263883477], [-9.18881357269216, 38.7650535030026], [-9.1887725798132, 38.7650847506413], [-9.18873578396059, 38.7651159681906], [-9.18869436350142, 38.7651434385888], [-9.18866059852482, 38.7651606181196], [-9.18838385902683, 38.7652982615446], [-9.18810802592894, 38.7654370401022], [-9.1878344044833, 38.7655784856244], [-9.18756076776629, 38.7657199119547], [-9.18728626686996, 38.7658603097786], [-9.18701176327871, 38.7660007066258], [-9.18673613140344, 38.7661397366701], [-9.18653704048199, 38.7662428774926], [-9.18649834199788, 38.7662603135996], [-9.1864586714566, 38.7662763667963], [-9.18636462482197, 38.766319979283], [-9.18626771832533, 38.7663596031424], [-9.18616822995555, 38.7663951247151], [-9.18606733061242, 38.7664279600924], [-9.18596488395755, 38.7664577406086], [-9.185861042061, 38.766484422062], [-9.18573145019979, 38.7665137920821], [-9.1856557788152, 38.76652873134], [-9.18562871167739, 38.7665336062624], [-9.1856131501617, 38.7665364093427], [-9.18559637531277, 38.7665364313498], [-9.18557979621587, 38.7665344389206], [-9.1855638083981, 38.7665304795881], [-9.18555976794472, 38.766529174452], [-9.18555598608565, 38.7665274618163], [-9.18555253004971, 38.766525372126], [-9.18552372736677, 38.7665043245035], [-9.18551851481872, 38.7665005714145], [-9.18551258265244, 38.7664975366085], [-9.18550609189903, 38.7664953024668], [-9.18549921875271, 38.7664939296362], [-9.1854921497879, 38.7664934553826], [-9.18544679025593, 38.7664937831793], [-9.18538001668425, 38.7664944646882], [-9.18537680393662, 38.7664947060166], [-9.18537366645206, 38.7664952966064], [-9.18537066636727, 38.7664962247613], [-9.1853678630978, 38.7664974720994], [-9.18536531216136, 38.7664990139176], [-9.18536177620032, 38.7665013777371], [-9.18535863204167, 38.7665040570639], [-9.18535592566495, 38.766507012716], [-9.185333194695, 38.766533038222], [-9.18530958606815, 38.7665525134253], [-9.18528256078225, 38.7665690697191], [-9.18525270654386, 38.7665823470636], [-9.18521146646428, 38.7665927812391], [-9.18516866914903, 38.7665981954513], [-9.18512934899071, 38.7666024890211], [-9.18508382147382, 38.7666074612968], [-9.18500507771666, 38.7666122179542], [-9.18492610515768, 38.7666113885468], [-9.18478885024742, 38.7666002032484], [-9.18465193933297, 38.7665866959674], [-9.18460197234192, 38.766579223193]]]",[-9.18861626 38.76446824],Pista Ciclável Unidirecional,Avenida Cidade de Praga,"(38.76446823878909, -9.188616259982226)",Carnide,Lisboa,Lisboa
115,233,"[[[-9.15789295329405, 38.7783164647491], [-9.15804620498318, 38.7781420208655], [-9.15827943188546, 38.7778768558491], [-9.15850911673056, 38.777619585854], [-9.15874113450046, 38.7773658704226], [-9.15886036788813, 38.7772332078093], [-9.15887854439957, 38.7772061637469]]]",[-9.15845825 38.77768002],Pista Ciclável Bidirecional,Parque Quinta Mata Mouros - Parque Quinta das Conchas,"(38.777680024185216, -9.158458250525914)",Charneca,Lisboa,Lisboa
116,234,"[[[-9.19628159727314, 38.7422601881383], [-9.19578268464245, 38.7423333599282], [-9.19532476303647, 38.7423900087557], [-9.19488715593235, 38.742426286655], [-9.19470658827202, 38.7424158181459], [-9.19435372733348, 38.7422575501605], [-9.19415680045354, 38.7421866757533], [-9.19403599501411, 38.7421623649901]]]",[-9.19494116 38.74230403],Trilho,Travessa de Francisco Rezende,"(38.74230403156588, -9.194941163994693)",Benfica,Lisboa,Lisboa
117,235,"[[[-9.16628931671019, 38.7370650446647], [-9.16630875712428, 38.737061842666], [-9.16632724897136, 38.7370561729866], [-9.16635755273914, 38.737038714115], [-9.16636557398305, 38.7370347850884], [-9.16637422547084, 38.737031777793], [-9.16638652713738, 38.7370278569801], [-9.16639944567242, 38.7370254265628], [-9.16642641489388, 38.7370238282445], [-9.16657980941518, 38.7370147323342], [-9.1666256782919, 38.7370120121796], [-9.16663174660174, 38.7370117682201], [-9.16663768840148, 38.7370107762616], [-9.16664335313181, 38.7370090614392], [-9.16664859725405, 38.7370066672049], [-9.16665328788734, 38.7370036542262], [-9.16665730617568, 38.7370000988487], [-9.16666055029961, 38.7369960911623], [-9.16666293805624, 38.7369917327176], [-9.16666440894219, 38.7369871339533], [-9.16666492568666, 38.7369824113975], [-9.16665418632742, 38.736843030256], [-9.16665765885217, 38.7368379360063], [-9.16666215513159, 38.7368333547798], [-9.16666755348189, 38.7368294105594], [-9.16667370780636, 38.7368262100886], [-9.16668045154918, 38.7368238399824], [-9.16668760220299, 38.7368223643837], [-9.16669496624809, 38.7368218232269], [-9.16674083512478, 38.736819103065], [-9.1671494823408, 38.7367942754514], [-9.16720020869744, 38.7367915638488], [-9.16725070810027, 38.7367869453056], [-9.16742797804519, 38.7367671445888], [-9.16749338757215, 38.7367593317731], [-9.1675579849, 38.7367481386168], [-9.16762148324222, 38.7367336148113], [-9.16769072268937, 38.7367138953624], [-9.16771220859435, 38.7366896149689]]]",[-9.16677407 38.73691367],Pista Ciclável Bidirecional,Rua de Campolide,"(38.736913671439005, -9.166774067532119)",Campolide,Lisboa,Lisboa
118,240,"[[[-9.15937597930164, 38.7597412232609], [-9.15944781398164, 38.7597283819404], [-9.15960151033686, 38.7597021697243], [-9.15969122059273, 38.7596876514308], [-9.15982109991481, 38.7596677190684], [-9.1599162422832, 38.759654083382], [-9.1599430327399, 38.7596503897119], [-9.15998751282118, 38.7596444474767], [-9.160023224447, 38.7596397766259], [-9.16004022775869, 38.7596375672882], [-9.16008947250427, 38.7596311795418], [-9.16014999020834, 38.7596234384526], [-9.16020786686543, 38.7596160342973], [-9.16024661120364, 38.7596109200359], [-9.1602949567356, 38.7596040790715], [-9.1603735790859, 38.7595920586982], [-9.16041877242954, 38.7595848604831], [-9.16047260307461, 38.7595759845981], [-9.16049501154937, 38.7595713424629], [-9.1605265397209, 38.7595648671495], [-9.16055556428775, 38.7595590173717], [-9.16057630638766, 38.7595549335246], [-9.16058759012594, 38.7595526219129], [-9.16061309689012, 38.7595478179634], [-9.16064641720063, 38.759542068354], [-9.16068178746661, 38.7595373820857], [-9.16069934773381, 38.7595361387186], [-9.16071966313396, 38.7595358956491], [-9.16076103773931, 38.7595400894739], [-9.16077026343727, 38.7595421965434], [-9.16077867795655, 38.7595445501847], [-9.16078799079109, 38.7595479832786], [-9.16079425743851, 38.7595508804988], [-9.16080111248246, 38.7595547822191], [-9.16080776271051, 38.7595596211926], [-9.16081427369967, 38.7595660089454], [-9.16081945608056, 38.7595730362433], [-9.1608252187731, 38.7595845424615], [-9.16082776819187, 38.7595915424386], [-9.16083021160944, 38.7596001129089], [-9.16083226425987, 38.759608667267], [-9.16083437709741, 38.7596186176961], [-9.16083565180679, 38.759625949701], [-9.16083675134471, 38.7596376142209], [-9.16083663546205, 38.7596449385184], [-9.16083575151981, 38.7596510068413], [-9.16083408245, 38.7596587927586], [-9.16083042271352, 38.7596675950822], [-9.16082558528572, 38.7596753543792], [-9.16082135691568, 38.7596809246532], [-9.16081617812808, 38.7596865775842], [-9.16081072176105, 38.7596917303669], [-9.16079914337536, 38.759700930563], [-9.16078925022912, 38.7597075053331], [-9.16078349651971, 38.7597109103997], [-9.16076829882175, 38.759718642373], [-9.16075423928925, 38.7597245516792], [-9.16074300495828, 38.7597284898154], [-9.16072480868391, 38.7597337756876], [-9.16071392469591, 38.7597363814977], [-9.16067417783787, 38.7597435768956], [-9.1606367818709, 38.7597482995756], [-9.16059591750863, 38.7597525066973], [-9.16057494274504, 38.7597544358369], [-9.1605720546614, 38.7597548883511], [-9.16056533975467, 38.7597564616435], [-9.16056171954406, 38.759757803075], [-9.16055595146163, 38.7597599409594], [-9.16055302385213, 38.7597616711607], [-9.16054732404164, 38.7597649186153], [-9.16054370203441, 38.7597679468176], [-9.16054078250975, 38.7597703880122], [-9.16053745245497, 38.7597740837776], [-9.1605349380705, 38.7597783938692], [-9.1605357537408, 38.7597998644679], [-9.16053749916739, 38.7598259456572], [-9.1605444889586, 38.75987135603]]]",[-9.16053843 38.75965715],Pista Ciclável Bidirecional,Telheiras-Campo Grande,"(38.75965715369519, -9.160538426847072)",Lumiar,Lisboa,Lisboa
