,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
21,24,"[[[-9.18878150906712, 38.7688680023525], [-9.18876292911953, 38.768872481158], [-9.18874558094734, 38.7688793340738], [-9.1887002708227, 38.7689100723833], [-9.18869614216568, 38.7689128410507]]]",[-9.18873729 38.76888855],Pista Ciclável Bidirecional,Quinta da Paz - Cemitério de Carnide,"(38.76888854620366, -9.188737286424475)",Carnide,Lisboa,Lisboa
22,26,"[[[-9.09597673852441, 38.7666396231358], [-9.09613617780924, 38.7666582577762], [-9.0961948306108, 38.7666648998459], [-9.096312509913, 38.7666778519851], [-9.09650044106371, 38.7666988169071], [-9.09680113054548, 38.7667323620303], [-9.0970642336175, 38.7667617130371], [-9.09738113589352, 38.7667970722114], [-9.09743692935752, 38.7668034095867], [-9.09746312512951, 38.7668061909434]]]",[-9.09672673 38.76672402],Pista Ciclável Bidirecional,Avenida do Pacífico,"(38.7667240197459, -9.09672672524647)",Parque das Nações,Lisboa,Lisboa
23,27,"[[[-9.14116936439928, 38.7446285343914], [-9.14211504964494, 38.7443002259495]]]",[-9.14164221 38.74446438],30+Bici,Avenida Sacadura Cabral,"(38.744464380170456, -9.141642207022109)",None,Lisboa,Lisboa
24,28,"[[[-9.20143363934514, 38.7361514529331], [-9.20106454405279, 38.7364970217065], [-9.20081599368838, 38.7369674267151], [-9.20038093061315, 38.7376461613547], [-9.20025497423389, 38.7377769559274], [-9.20017084970248, 38.7378643096003], [-9.19994812680085, 38.7380822063294], [-9.19963678779135, 38.7383245742306], [-9.19908521232544, 38.7386799590121]]]",[-9.20031012 38.73755445],Trilho,Estrada da Serafina,"(38.73755445197881, -9.200310117617054)",Benfica,Lisboa,Lisboa
25,29,"[[[-9.17175613564424, 38.7327229296841], [-9.17176073681514, 38.7327048096451], [-9.17213016448415, 38.7326532518095], [-9.17333611502384, 38.7321437189416], [-9.17425511132243, 38.7317010932994], [-9.17521451653743, 38.7312098317352], [-9.1764188438214, 38.7320035722392], [-9.17768836723544, 38.7328263087001]]]",[-9.17407    38.73224569],Trilho,Rua Padre Domingos Maurício dos Santos,"(38.732245689506776, -9.174069998860507)",Campolide,Lisboa,Lisboa
26,30,"[[[-9.09578898434183, 38.7586799299208], [-9.09575503161737, 38.7586721999364], [-9.09572633583392, 38.7586707064768], [-9.09569764005047, 38.7586692123165], [-9.09566894336873, 38.7586677181563], [-9.09564024758531, 38.7586662253969], [-9.09561155000523, 38.7586647312366], [-9.09549676507485, 38.7586587566965], [-9.09543937350799, 38.7586557683755], [-9.09532458767931, 38.7586497938347], [-9.09523849943067, 38.7586453120531], [-9.09515241028373, 38.7586408302712], [-9.09506632113679, 38.758636348489], [-9.09498023288818, 38.7586318667066], [-9.09492284042299, 38.758628879085], [-9.09483675127606, 38.7586243973021], [-9.09475066212912, 38.7586199155189], [-9.09466457388048, 38.7586154330349], [-9.09460718051699, 38.7586124454126], [-9.09449239648493, 38.7586064701676], [-9.09440630823629, 38.7586019876828], [-9.09429152240761, 38.7585960110359], [-9.09417673747723, 38.7585900350891]]]",[-9.09511895 38.75863935],Percurso Ciclopedonal,Passeio do Adamastor,"(38.75863934670417, -9.095118951984178)",Parque das Nações,Lisboa,Lisboa
27,31,"[[[-9.14362671663876, 38.717348292656], [-9.1434578657047, 38.7171480697731]]]",[-9.14354229 38.71724818],30+Bici,Avenida da Liberdade,"(38.71724818121455, -9.14354229117173)",None,Lisboa,Lisboa
28,33,"[[[-9.14105117665063, 38.7548862597801], [-9.14138249778526, 38.7555320464096]]]",[-9.14121684 38.75520915],30+Bici,Rua José Duro,"(38.75520915309485, -9.141216837217945)",São João de Brito,Lisboa,Lisboa
29,34,"[[[-9.19121588868986, 38.7506212990916], [-9.19120142761041, 38.7506841568492], [-9.19119925099248, 38.7506913258373], [-9.1911957367831, 38.7507006532971], [-9.19119092720304, 38.7507149968739], [-9.19118297082458, 38.7507325862116], [-9.19117659817598, 38.7507446045741], [-9.19117276686129, 38.7507526983148], [-9.19116784678845, 38.750759534523], [-9.19116068631732, 38.750769252194], [-9.19115351955798, 38.7507786125706], [-9.19114500532572, 38.7507894140276], [-9.19113782868494, 38.7507980591152], [-9.19112838559465, 38.7508077970976], [-9.19112074182992, 38.7508157311002], [-9.19111129334975, 38.7508251117874], [-9.19110273599836, 38.7508330548956], [-9.19109462061808, 38.7508399205202], [-9.19108380849532, 38.7508496711072], [-9.19107569131842, 38.7508565367303], [-9.19106690669323, 38.7508628236788], [-9.19014357692174, 38.751526490858], [-9.18974149728876, 38.7518941132346], [-9.18971940681761, 38.7519320102105], [-9.18971085934769, 38.7519487480643], [-9.18969103622431, 38.7519846708255], [-9.18945506407052, 38.7522483943547], [-9.18949538225712, 38.7522776196138], [-9.18938182712036, 38.7524068713785], [-9.1892722856563, 38.7523440277479], [-9.18926403642705, 38.7523392954707], [-9.18925691009188, 38.752337476819], [-9.18925097132953, 38.7523371741775], [-9.18924418186264, 38.7523411673648], [-9.1892145347633, 38.7523739675379], [-9.1891473964756, 38.7524443239283], [-9.18912816174875, 38.7524609061381], [-9.18909924228479, 38.7524811872893], [-9.1890751683335, 38.7524940173037], [-9.189030798745, 38.7525146963622], [-9.188997220618, 38.7525285856133], [-9.18897335238088, 38.7525382154738], [-9.18896136436342, 38.7525428517615], [-9.18895547770337, 38.7525461226629], [-9.18895052439288, 38.7525508149946], [-9.18894831094403, 38.752555482106], [-9.18894831902887, 38.7525608203507], [-9.18897590269798, 38.7526087006047], [-9.1888937544602, 38.7526377778989], [-9.18864981065658, 38.7527356980836], [-9.18861984824859, 38.7527579358071], [-9.18852366563113, 38.7527988461107], [-9.18842243358342, 38.7528739637476], [-9.18841019224108, 38.7528830457284], [-9.18839613181024, 38.7528963142173], [-9.188330097552, 38.7529586256418], [-9.18832934206885, 38.7529593388049]]]",[-9.18983671 38.75183944],Pista Ciclável Bidirecional,Avenida do Colégio Militar,"(38.751839441029546, -9.189836714453698)",Benfica,Lisboa,Lisboa
30,35,"[[[-9.17536400787881, 38.7596610952606], [-9.17535579997207, 38.7599395286247], [-9.17535571373381, 38.7599417946923]]]",[-9.17535851 38.75984747],30+Bici,Rua António Quadros,"(38.7598474728592, -9.175358507194895)",Lumiar,Lisboa,Lisboa
31,36,"[[[-9.14622036666305, 38.7523442470229], [-9.14554934401046, 38.7525619321347]]]",[-9.14588486 38.75245309],30+Bici,Avenida da Igreja,"(38.75245308957879, -9.145884855336755)",São João de Brito,Lisboa,Lisboa
32,38,"[[[-9.1897797376721, 38.7440297251881], [-9.18978201040976, 38.7440294848683], [-9.18988541458378, 38.7440185541713], [-9.19030337104109, 38.7439750871006], [-9.19059961386224, 38.7439430888065], [-9.19102906875515, 38.7438966888023], [-9.19124769803408, 38.743872864867], [-9.19163509200877, 38.7438311002693], [-9.19213096743548, 38.743778339053], [-9.19230689350074, 38.7437595835326], [-9.19282373021629, 38.743704483514], [-9.19302606944585, 38.7436815549379], [-9.19319197929567, 38.7436646757175], [-9.1932717263367, 38.7436553704597], [-9.19384871963358, 38.7435936436605], [-9.194397897496, 38.7435339535847], [-9.1946736030331, 38.7435024889851], [-9.19486407911102, 38.7434800220698], [-9.19513520413849, 38.7434475253942], [-9.19536484766108, 38.7434189810522], [-9.19551202673894, 38.7434011958334], [-9.19566053981494, 38.743380897389], [-9.19576850383736, 38.7433659715022], [-9.19587737605655, 38.7433506798743], [-9.19601308634316, 38.7433290670008], [-9.19607364177647, 38.7433185054378], [-9.19614053302747, 38.743304311715], [-9.19616829635963, 38.7432986960222], [-9.19625749367746, 38.7432803663699], [-9.19635302321972, 38.7432580465208], [-9.19641759052907, 38.7432410130578], [-9.19644759156463, 38.7432325169939], [-9.1964798698294, 38.7432236432793], [-9.19653303751781, 38.7432074295672], [-9.19658802519298, 38.7431908410041], [-9.1966225375679, 38.7431787288844], [-9.19668522560168, 38.7431581375054], [-9.19672747067455, 38.7431441686592], [-9.19676062569505, 38.7431327838057], [-9.19681420211691, 38.7431133484855], [-9.19686413048038, 38.7430943034221], [-9.19690270324038, 38.7430789367664], [-9.19693809147268, 38.7430643141981], [-9.19697076319958, 38.7430511468775], [-9.19699753209672, 38.7430401774949], [-9.19704424449148, 38.743019732512], [-9.19709321435256, 38.7429974791433], [-9.19714716716853, 38.742972676799], [-9.19720745041232, 38.7429438856378], [-9.19730803657131, 38.7428932761686], [-9.19737416335598, 38.742858353568], [-9.19744703020028, 38.742816219133], [-9.19749411449757, 38.7427900504526], [-9.19757101298084, 38.7427428747766], [-9.19759679013792, 38.7427265516533], [-9.19762393093759, 38.7427098599824], [-9.19772243031016, 38.7426417522076], [-9.19777439066284, 38.7426058864027], [-9.19787008190185, 38.7425331563051], [-9.19792374725692, 38.7424890521346], [-9.19796434571788, 38.7424565073634], [-9.19798146042068, 38.7424409787189], [-9.19803014641414, 38.7423997801151], [-9.19807967772226, 38.7423539256207], [-9.19812829454544, 38.742308080906], [-9.19815752033488, 38.7422781417992], [-9.19819082088248, 38.7422460208301], [-9.19823310098964, 38.7422038075601], [-9.19832305918051, 38.7421139704524], [-9.19848543595632, 38.741951972179], [-9.19861403787406, 38.7418210269028], [-9.19879750709275, 38.7416348844806], [-9.198938743815, 38.741494171345], [-9.19906476038136, 38.7413736168193], [-9.19913956040011, 38.7413082263597], [-9.1992143972498, 38.7412453386266], [-9.19928751562235, 38.7411896165763], [-9.19938458308038, 38.7411175878074], [-9.19944466689818, 38.7410755693572], [-9.19951610811608, 38.7410298723639], [-9.19958443397658, 38.7409895663009], [-9.19964823861628, 38.7409521609929], [-9.19970439050805, 38.7409219760827], [-9.19979278203708, 38.7408804136545], [-9.20000353937914, 38.7407798181566], [-9.20008827386662, 38.7407379312342], [-9.2001450312229, 38.7407177504465], [-9.20017064668323, 38.7406907037539], [-9.20025152649983, 38.7406045229635], [-9.20046561030341, 38.7403598253422], [-9.20051857048099, 38.7402992812403], [-9.20059541596366, 38.7402181427582], [-9.20064174837106, 38.7401723162914], [-9.20069538767497, 38.7401267812777], [-9.20073145683026, 38.7400967788958], [-9.20078876934541, 38.7400526409894], [-9.20086697936898, 38.7400018753214], [-9.20111782043735, 38.7398820224614]]]",[-9.19694751 38.74246454],Pista Ciclável Bidirecional,Avenida General Correia Barreto,"(38.74246453933596, -9.196947508273476)",Benfica,Lisboa,Lisboa
33,39,"[[[-9.15674932876708, 38.7537132728808], [-9.15745619779278, 38.7550789904881], [-9.15746050521457, 38.7550873667524], [-9.15747834755275, 38.7551217936996]]]",[-9.15728609 38.75475036],30+Bici,Rua Prof. Oliveira Marques,"(38.754750355955224, -9.157286094831795)",None,Lisboa,Lisboa
