ESCOLA SEDE,latitude,longitude
"Escola Artística de Dança do Conservatório Nacional, Lisboa",38.71227,-9.14741
"Escola Artística de Música do Conservatório Nacional, Lisboa",38.71245,-9.14636
Escola Artística do Instituto Gregoriano de Lisboa,38.74896,-9.15035
"Escola Profissional de Ciências Geográficas, Lisboa",38.72596,-9.15829
"Escola Secundária de Camões, Lisboa",38.73008,-9.14444
"Escola Secundária Fonseca Benevides, Lisboa",38.70383,-9.18596
"Escola Secundária Maria Amália Vaz de Carvalho, Lisboa",38.72666,-9.1568
"Escola Secundária Marquês de Pombal, Lisboa",38.69788,-9.19513
"Escola Secundária Pedro Nunes, Lisboa",38.7171,-9.15794
"Escola Secundária Rainha Dona Amélia, Lisboa",38.71517,-9.15444
"Escola Secundária de Camarate, Loures",38.79201,-9.14199
"Escola Secundária José Saramago, Mafra",38.94182,-9.33572
"Escola Profissional Agrícola D. Dinis - Paiã, Odivelas",38.78161,-9.20611
"Escola Secundária da Ramada, Odivelas",38.80298,-9.18387
"Escola Secundária da Quinta do Marquês, Oeiras",38.69627,-9.32579
"Escola Secundária Ferreira Dias, Agualva, Sintra",38.77051,-9.29535
"Escola Secundária Gago Coutinho, Alverca do Ribatejo, Vila Franca de Xira",38.8905,-9.03574
