X,Y,gid,Estado de Conservação,Tipo de Abrigo,Abrigo com Publicidade?,Tem Bolsa?,Operadora,Carreira,Código de Rua,Nome da Rua,Freguesia,Observações,Data da Observação
-9.30413378547128,38.6943413020222,559,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,1398,Avenida de Moçambique,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32707234025644,38.6911951215309,520,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,"470,485,489",557,Avenida Dom José I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32721563356536,38.6911379900951,519,Bom,Sem Abrigo,Não,Não,SCoTTURB,"470,485,489",557,Avenida Dom José I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32847760813065,38.6944728428197,265,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,"470,485,489",557,Avenida Dom José I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32847597485794,38.6923099980877,264,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,"470,485,489",557,Avenida Dom José I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.2328108566745,38.7189458718759,613,Bom,Fechado dos Lados,Não,Não,Vimeca,"01,13,15",1197,Rua Mário Moreira,Carnaxide e Queijas,n/a,2012/07
-9.23295790150635,38.7190349271321,612,Bom,Sem Abrigo,Não,Não,Vimeca,"01,13,15",1197,Rua Mário Moreira,Carnaxide e Queijas,n/a,2012/07
-9.26834852279673,38.740300166149,737,Bom,Fechado dos Lados,Sim,Não,LT,"101,101,171",269,Rua Mário Castelhano,Barcarena,n/a,2012/07
-9.26813075563638,38.7397814518379,160,Bom,Sem Abrigo,Não,Não,LT,"101,171",269,Rua Mário Castelhano,Barcarena,n/a,2012/07
-9.26834852279673,38.740300166149,153,Bom,Fechado dos Lados,Sim,Não,Vimeca,12,269,Rua Mário Castelhano,Barcarena,n/a,2012/07
-9.29635760775362,38.6976039938498,961,Bom,Fechado dos Lados,Não,Não,COMBUS,n/a,1527,Rua Manuel Pinhanços,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29495924060971,38.6976786100013,562,Bom,Fechado dos Lados,Não,Não,LT,115,1527,Rua Manuel Pinhanços,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29635760775362,38.6976039938498,558,Bom,Fechado dos Lados,Não,Não,LT,"129,115,125,158",1527,Rua Manuel Pinhanços,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32059045374029,38.6848812579713,975,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31929784332851,38.6839315320058,974,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31929784332851,38.6839315320058,973,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31786020401848,38.6837394670448,971,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31786020401848,38.6837394670448,970,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32059045374029,38.6848812579713,582,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,47,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31929784332851,38.6839315320058,581,Bom,Fechado dos Lados,Sim,Não,LT,106,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31786020401848,38.6837394670448,576,Bom,Fechado dos Lados,Sim,Não,LT,106,556,Avenida Dom João I,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.24178990004618,38.7152934280825,350,Bom,Sem Abrigo,Não,Não,COMBUS,n/a,475,Rua Luís de Camões,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Placa pouco legível,2012/07
-9.30248093988859,38.7231317871435,798,Bom,Fechado dos Lados,Sim,Não,Vimeca,15,735,Estrada de Leião,Porto Salvo,n/a,2012/07
-9.30127325294551,38.7297488948368,763,Bom,Fechado dos Lados,Não,Sim,Vimeca,15,735,Estrada de Leião,Porto Salvo,n/a,2012/07
-9.30127325294551,38.7297488948368,762,Bom,Fechado dos Lados,Sim,Sim,LT,"106,112,119",735,Estrada de Leião,Porto Salvo,n/a,2012/07
