name,Lat,Long,type,lun,mar,mer,gio,ven,sab,dom
Ristorante Provence Cinese,45.05681525,7.682419008,restaurant',x,"12–15, 18:30–23:30","12–15, 18:30–23:30","12–15, 18:30–23:30","12–15, 18:30–23:30","12–15, 18:30–23:30","12–15, 18:30–23:30"
Casalegno Tessilarredo 1956,45.05692783,7.682499872,public place',15:30–19:30,"09:30–12:30, 15:30–19:30","09:30–12:30, 15:30–19:30","09:30–12:30, 15:30–19:30","09:30–12:30, 15:30–19:30","09:30–12:30, 15:30–19:30",x
Polo Culturale Lombroso16,45.05623834,7.682592748,public place',09–23,09–23,09–23,09–23,09–23,09–23,09–23
L'ombroso Gustoso - Terrazza enogastronomica,45.05613858,7.682701236,pub',x,10:30–22:30,10:30–22:30,10:30–22:30,10:30–22:30,10:30–23,09:30–17
Cucina mia Moglic,45.0559787,7.683174472,pub',nan,nan,nan,nan,nan,nan,nan
Bar Imperfetto,45.05588488,7.683088429,restaurant',07–19:30,07–19:30,07–19:30,07–19:30,07–19:30,07–19:30,x
Il Buongustaio,45.05581617,7.683061307,ristorante',nan,nan,nan,nan,nan,nan,nan
Scegli Il Fresco,45.05558427,7.682591812,public place',"08:30–13:30, 16–19:30","08:30–13:30, 16–19:30","08:30–13:30, 16–19:30","08:30–13:30, 16–19:30","08:30–13:30, 16–19:30","09–13:30, 16:30–19:30",x
La Piadineria degli Artisti,45.05560079,7.682550661,restaurant',11–18,11–18,11–18,11–18,11–18,11–16,x
Ottimo! Gelateria Creperia,45.05577323,7.682015699,public place',11:15–20:45,11:15–20:45,11:15–20:45,11:15–20:45,11:15–20:45,11:15–20:45,11:15–20:45
Gallodue,45.05585941,7.681736396,public place',15–19:30,"09–12:30, 15–19:30","09–12:30, 15–19:30","09–12:30, 15–19:30","09–12:30, 15–19:30","09–12:30, 15–19:30",x
BPER Banca,45.05647597,7.681836813,public place',"08:20–13:10, 14:35–15:35","08:20–13:10, 14:35–15:35","08:20–13:10, 14:35–15:35","08:20–13:10, 14:35–15:35","08:20–13:10, 14:35–15:35",x,x
RISTORANTE CINESE Take Away,45.05617,7.681635031,restaurant',12–23,x,12–23,12–23,12–23,"12–15, 19–23","12–15, 19–23"
Margot abbigliamento,45.05601719,7.68153856,public place',15:30–19:30,09:30–19:30,09:30–19:30,09:30–19:30,09:30–19:30,09:30–19:30,x
Caffetteria dell'Università,45.05593605,7.681479836,pub',06–22,06–22,06–22,06–22,06–22,06–22,07–16
Profumeria Sacha',45.05607575,7.681258757,public place',x,10–19,10–19,"10–13, 15:30–19",10–19,"10–13, 16–19",x
Les Gates,45.05613546,7.681061502,public place',15:30–19:20,"09:30–13:15, 15:30–19:20","09:30–13:15, 15:30–19:20",09:30–19:20,"09:30–13:15, 15:30–19:20","09:30–13:15, 15:30–19:20",x
Petit Monde,45.05625907,7.68061711,public place',15:30–19,10:30–19,10:30–19,10:30–19,10:30–19,10:30–19,x
Graziella Boutique,45.05639832,7.68071092,public place',x,"09:30–13, 15:30–19:30","09:30–13, 15:30–19:30",09:30–19:30,"09:30–13, 15:30–19:30","10–13, 15:30–19",x
