X,Y,OBJECTID,CATEGORY,SUBCATEGORY,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CREATE_DATE,UPDATE_DATE,TRAFFICCONTROLID,INSTALLATION_DATE,OWNERSHIP
-80.4507943680583,43.4197153025272,100,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:07:27+00,2004/01/29 12:07:27+00,2014/08/11 15:14:19+00,27,1970/01/01 00:00:00+00,REGION
-80.4731428571197,43.4178359455392,101,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:09:12+00,2004/01/29 12:09:12+00,2014/08/11 16:54:29+00,28,1970/01/01 00:00:00+00,REGION
-80.4778319592382,43.4140545447309,102,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:09:53+00,2004/01/29 12:09:53+00,2014/08/11 16:43:04+00,29,1970/01/01 00:00:00+00,REGION
-80.5081777528558,43.4136455789643,103,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:10:35+00,2004/01/29 12:10:35+00,2014/08/11 16:59:11+00,30,1970/01/01 00:00:00+00,REGION
-80.5128144421634,43.418107110773,104,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:11:30+00,2004/01/29 12:11:30+00,2014/08/11 16:59:11+00,31,1970/01/01 00:00:00+00,REGION
-80.5130132263127,43.4152593963135,105,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:12:17+00,2004/01/29 12:12:17+00,2014/08/11 16:59:11+00,32,1970/01/01 00:00:00+00,REGION
-80.4854313132748,43.4043551961026,106,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:13:20+00,2004/01/29 12:13:20+00,2014/08/11 16:43:04+00,33,1970/01/01 00:00:00+00,REGION
-80.4661030776416,43.4088638923034,107,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:14:06+00,2004/01/29 12:14:06+00,2014/08/11 16:59:11+00,34,2002/01/01 00:00:00+00,KITCHENER
-80.3907256710985,43.4118175347318,108,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:14:50+00,2004/01/29 12:14:50+00,2014/08/11 16:59:11+00,35,1970/01/01 00:00:00+00,REGION
-80.4584393032928,43.3976280560472,109,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:15:35+00,2004/01/29 12:15:35+00,2014/08/11 16:43:04+00,36,2001/01/01 00:00:00+00,KITCHENER
