OBJECTID,ACTIVETRANSPORTID,STATUS,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,ROUTE_NAME_1,ROUTE_NAME_2,ROUTE_NAME_PROPOSED,WIDTH_M,GRADE,RAILING,CURBCUT,STREET,ROADSEGMENTID,ROADSEGMENT_SIDE,WARD,OWNERSHIP,MAINTAINED_BY,INSTALLATION_YEAR,LAST_INSPECTION_YEAR,SURFACE_CONDITION,WAYFINDING,WINTER_MAINTAINED_BY,SIDEWALKER_PROGRAM,UPGRADE_YEAR,FACILITY_TYPE,Shape__Length
43915,327720,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,ANDREW ST,8868,RIGHT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,1.57452767859144
43916,327721,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,ANDREW ST,8886,RIGHT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.00430008037669
43917,327722,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,ANDREW ST,8868,RIGHT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.23639957970347
43918,327723,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,KING ST W,1776,LEFT,9,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,1.05318969377651
43919,327724,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,AGNES ST,1775,LEFT,9,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,1.40066447418885
43920,327725,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,KING ST W,1776,RIGHT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,2.42392237956063
43921,327726,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,,50005,RIGHT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,2.2407648891622
43922,327727,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,LOUISA ST,1741,LEFT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,1.3058385197222
43923,327728,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,LOUISA ST,1741,RIGHT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,1.39705949714675
43924,327729,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,GRUHN ST,8864,RIGHT,9,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.820322528648843
43925,321399,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,DEKAY ST,8825,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.76864057944632
43926,321400,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,GUELPH ST,8823,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.07223520707311
43927,321401,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,GUELPH ST,8816,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.13642291782329
43928,321402,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,DEKAY ST,8825,RIGHT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.654530892986081
43931,321380,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,WEBER ST W,11183,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.07989589316886
43932,321927,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RITTENHOUSE RD,9642,LEFT,6,KITCHENER,UNKNOWN,1977,2020,UNKNOWN,X,,Y,,NA,31.5545969017508
43933,11487,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RITTENHOUSE RD,9658,RIGHT,6,KITCHENER,UNKNOWN,1985,2020,UNKNOWN,X,,Y,,NA,49.8192082115575
43936,321932,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,STRASBURG RD,9348,RIGHT,6,KITCHENER,OPERATIONS (ROADS),,2019,GOOD,U,,Y,,NA,208.358366745238
43937,321933,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,OLD COUNTRY DR,9313,LEFT,6,KITCHENER,UNKNOWN,1986,2020,UNKNOWN,X,,Y,,NA,27.7318293237711
43940,321936,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RESURRECTION DR,20602,LEFT,7,KITCHENER,UNKNOWN,1990,2020,UNKNOWN,X,,Y,,NA,10.42754931308
43941,321937,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BLACK WALNUT DR,22758,LEFT,4,KITCHENER,UNKNOWN,1980,2020,UNKNOWN,X,,Y,,NA,50.4460788062416
43942,321938,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,MARL MEADOW DR,25566,RIGHT,4,KITCHENER,UNKNOWN,1995,2020,UNKNOWN,X,,Y,,NA,48.3275210994384
