OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,PARKING_COST,CREATE_DATE,UPDATE_DATE,SOURCE_DATE,SOURCE,PAYMENT_METHOD,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,STREET,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,PARKINGONSTREETID,STATUS,Shape__Area,Shape__Length
208,PARKING,3,ON STREET, ,2003/07/02 15:08:05+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2086,ACTIVE,51.242919921875,46.9025269098142
209,PARKING,1,ON STREET, ,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2095,ACTIVE,16.7578125,18.6209156604964
210,PARKING,3,ON STREET, ,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2097,ACTIVE,58.9580078125,53.2342424003976
211,PARKING,1,ON STREET, ,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2107,ACTIVE,18.907958984375,20.3849637288808
212,PARKING,1,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2116,ACTIVE,14.57080078125,16.8280047597575
213,PARKING,1,ON STREET, ,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,DAVID ST,KITCHENER,9,7,2101,ACTIVE,14.57861328125,16.8341150681325
214,PARKING,1,ON STREET, ,2003/07/02 15:08:08+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,DAVID ST,KITCHENER,9,7,2148,ACTIVE,14.578857421875,16.8341150692937
215,PARKING,19,ON STREET, ,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2013/05/16 10:16:48+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,DAVID ST,KITCHENER,9,7,2110,ACTIVE,369.135986328125,307.638489384008
216,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:08+00,2017/05/01 16:42:05+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,2149,ACTIVE,60.91259765625,62.0296147835345
217,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/05/05 13:24:11+00,2013/05/16 10:57:52+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,2127,ACTIVE,37.1630859375,35.3600279890102
