OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
58119,25784,Arterial,MAJOR,TRUSSLER RD,PLAINS RD,NEW DUNDEE RD,,,,,REGIONAL RD 70,2,REG,TwoWay,UNKNOWN,2003/04/22 00:00:00+00,60,8063,2015,NO ACCESS,43.3054525693787
58120,21127,Arterial,MAJOR,TRUSSLER RD,YELLOW BIRCH DR,C_PKY STR OFFRAMP,,,,,REGIONAL RD 70,5,REG,TwoWay,REG PLAN 1600,2003/04/22 00:00:00+00,50,22086,2015,24HR,139.474330303046
58121,21656,Arterial,MAJOR,TRUSSLER RD,BLEAMS RD,HURON RD,1084,1588,,,REGIONAL RD 70,2,REG,TwoWay,58R-11860,2003/04/22 00:00:00+00,60,6440,2015,NO ACCESS,2665.20704522127
58130,11449,Arterial,MAJOR,OTTAWA ST S,MILL ST,PATTANDON AVE,,,358,358,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 384,2003/04/22 00:00:00+00,,,,24HR,52.7219631897227
58131,11457,Arterial,MAJOR,OTTAWA ST S,MILL ST,MILL ST,,,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 384,2003/04/22 00:00:00+00,,,,24HR,43.7792198025466
58148,8793,Arterial,MAJOR,VICTORIA ST S,BRAMM ST,THERESA ST,135,145,130,148,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 143,2003/04/22 00:00:00+00,,,,24HR,69.6276188012021
58149,8791,Arterial,MAJOR,VICTORIA ST S,MICHAEL ST,BRAMM ST,131,131,120,120,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 143,2003/04/22 00:00:00+00,50,20612,2015,24HR,16.7293753615027
58150,8798,Arterial,MAJOR,VICTORIA ST S,ARTHUR PL,OAK ST,,,92,94,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 418,2003/04/22 00:00:00+00,,,,24HR,26.4684099399364
58151,22396,Arterial,MAJOR,KING ST E,MORRISON RD,STONEGATE DR,,,,,REGIONAL RD  8,3,REG,TwoWay,REG PLAN 1411,2003/04/22 00:00:00+00,,,,24HR,99.91624718335
58222,6770,Arterial,MAJOR,WEBER ST E,QUEEN ST N,FREDERICK ST,20,20,19,19,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 401,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,125.407431873603
58238,21854,Arterial,MAJOR,MANITOU DR,CONNOR ST,BLEAMS RD,30,50,33,45,REGIONAL RD 69,4,REG,TwoWay,REG PLAN 586,2002/08/13 00:00:00+00,,,,24HR,367.777354986175
58239,21821,Arterial,MAJOR,MANITOU DR,SASAGA DR,CAYUGA DR,300,520,299,501,REGIONAL RD 69,4,REG,TwoWay,58R-4909,2002/08/13 00:00:00+00,,,,24HR,616.201378688241
58273,9230,Arterial,MAJOR,OTTAWA ST S,CHARLES ST E,MAURICE ST,,,50,50,REGIONAL RD  4,3,REG,TwoWay,REG PLAN 262,2003/04/22 00:00:00+00,,,,24HR,84.0735855306546
58274,21726,Arterial,MAJOR,TRUSSLER RD,HWY 7/8 E_BND TO REG RD 70,RICHARD BEASLEY DR,468,632,,,REGIONAL RD 70,4,REG,TwoWay,58R-1386,2003/12/12 00:00:00+00,70,15018,2015,24HR,826.362637916504
58275,600041,Arterial,MAJOR,TRUSSLER RD,RICHARD BEASLEY DR,OTTAWA ST S,,,,,REGIONAL RD 70,3,REG,TwoWay,58R-1386,2003/12/12 00:00:00+00,70,10530,2015,24HR,246.266024610352
