X,Y,OBJECTID,ROADSANDBOXID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,ROAD_SAND_BOX_NUM,ADDRESS,LOCATION,DATE_CHECKED,FILLED,STREET,CATEGORY,PUBLIC_ACCESS
-80.4844380313866,43.4838171405585,342,60051,2016/01/21 11:11:23+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:11:23+00,127,56 Woolwich St ,At Hillcrest Ln - Place beside fence between #50 & #56,1970/01/01 00:00:00+00,Y,HILLCREST LANE,SAND,Y
-80.4832719431156,43.4814982078305,343,60052,2016/01/21 11:12:19+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:12:19+00,154,611 Lancaster St W,At Jones Pl,1970/01/01 00:00:00+00,Y,LANCASTER ST W,SAND,Y
-80.4838318605822,43.4807483445536,344,60053,2016/01/21 11:12:51+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:12:51+00,155,591 Lancaster St W,At Wagner Pl,1970/01/01 00:00:00+00,Y,LANCASTER ST W,SAND,Y
-80.4916092305259,43.4784740659297,345,60054,2016/01/21 11:22:21+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:22:21+00,252,37 Springdale Dr,Beside driveway for #37,1970/01/01 00:00:00+00,Y,SPRINGDALE DR,SAND,Y
-80.4917309051015,43.4765331866866,348,60057,2016/01/21 11:25:59+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 11:25:59+00,253,3 Springdale Dr,At Lang Cres,1970/01/01 00:00:00+00,Y,SPRINGDALE DR,SAND,Y
-80.4840847612625,43.4680440770652,351,60060,2016/01/21 11:29:01+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 11:29:01+00,156,280 Lancaster St W,Beside convenience store on Arnold St,1970/01/01 00:00:00+00,Y,LANCASTER ST W,SAND,Y
-80.476523889694,43.471596602558,352,60061,2016/01/21 11:29:54+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:50:06+00,OPERATIONS,2016/01/21 11:29:54+00,35,23 Campbell Ave,In front of house on blvd,1970/01/01 00:00:00+00,Y,CAMPBELL AVE,SAND,Y
-80.483948329665,43.4656833047392,353,60062,2016/01/21 11:30:30+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:39:53+00,OPERATIONS,2016/01/21 11:30:30+00,157,200 Lancaster St W,On Guelph St at Bell box,1970/01/01 00:00:00+00,Y,LANCASTER ST W,SAND,Y
-80.4752475246288,43.4678583614579,354,60063,2016/01/21 11:31:07+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 11:31:07+00,114,1000 Guelph St,Across the street,1970/01/01 00:00:00+00,Y,GUELPH ST,SAND,Y
-80.4733838968269,43.4720008821194,355,60064,2016/01/21 11:33:02+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:33:02+00,224,365 Riverbend Dr,In driveway for Pumping Station,1970/01/01 00:00:00+00,Y,RIVERBEND DR,SAND,Y
