orig_dicofre,dest_dicofre,travel_bike,travel_car,travel_other,travel_total,orig_name,dest_name
110656,110611,0.0,134.0,792.0,940.0,Arroios,Carnide
110657,110611,0.0,440.0,359.0,799.0,Avenidas Novas,Carnide
110658,110611,0.0,75.0,266.0,341.0,BelÃ©m,Carnide
110659,110611,0.0,223.0,21.0,244.0,Campo de Ourique,Carnide
110660,110611,0.0,75.0,76.0,150.0,Estrela,Carnide
110661,110611,0.0,87.0,151.0,257.0,MisericÃ³rdia,Carnide
110662,110611,29.0,268.0,82.0,378.0,Parque das NaÃ§Ãµes,Carnide
110663,110611,0.0,481.0,5.0,486.0,Penha de FranÃ§a,Carnide
110664,110611,0.0,75.0,38.0,113.0,Santa Clara,Carnide
110665,110611,0.0,211.0,510.0,721.0,Santa Maria Maior,Carnide
110666,110611,0.0,416.0,428.0,864.0,Santo AntÃ³nio,Carnide
110667,110611,0.0,13.0,35.0,47.0,SÃ£o Vicente,Carnide
110601,110618,0.0,56.0,0.0,56.0,Ajuda,Lumiar
110602,110618,0.0,637.0,180.0,971.0,AlcÃ¢ntara,Lumiar
110607,110618,0.0,10.0,17.0,27.0,Beato,Lumiar
110608,110618,27.0,1899.0,518.0,2799.0,Benfica,Lumiar
110610,110618,0.0,2599.0,210.0,2924.0,Campolide,Lumiar
110611,110618,21.0,1109.0,405.0,2140.0,Carnide,Lumiar
110618,110618,84.0,6924.0,2285.0,20691.0,Lumiar,Lumiar
110621,110618,0.0,139.0,753.0,965.0,Marvila,Lumiar
110633,110618,0.0,1381.0,120.0,1537.0,Olivais,Lumiar
110639,110618,0.0,2364.0,239.0,2927.0,SÃ£o Domingos de Benfica,Lumiar
110654,110618,314.0,2988.0,2743.0,6609.0,Alvalade,Lumiar
110655,110618,0.0,365.0,328.0,749.0,Areeiro,Lumiar
110656,110618,0.0,779.0,1243.0,2096.0,Arroios,Lumiar
110657,110618,0.0,3873.0,1607.0,5710.0,Avenidas Novas,Lumiar
110658,110618,0.0,788.0,379.0,1187.0,BelÃ©m,Lumiar
110659,110618,0.0,81.0,115.0,253.0,Campo de Ourique,Lumiar
110660,110618,0.0,205.0,370.0,658.0,Estrela,Lumiar
110661,110618,0.0,128.0,255.0,458.0,MisericÃ³rdia,Lumiar
110662,110618,13.0,529.0,433.0,976.0,Parque das NaÃ§Ãµes,Lumiar
110663,110618,0.0,477.0,812.0,1290.0,Penha de FranÃ§a,Lumiar
110664,110618,6.0,1337.0,536.0,1992.0,Santa Clara,Lumiar
110665,110618,0.0,482.0,523.0,1043.0,Santa Maria Maior,Lumiar
110666,110618,0.0,1171.0,1007.0,2269.0,Santo AntÃ³nio,Lumiar
110667,110618,0.0,196.0,425.0,620.0,SÃ£o Vicente,Lumiar
110601,110621,0.0,19.0,285.0,304.0,Ajuda,Marvila
110602,110621,0.0,7.0,291.0,298.0,AlcÃ¢ntara,Marvila
110607,110621,0.0,1123.0,379.0,1803.0,Beato,Marvila
110608,110621,0.0,940.0,49.0,989.0,Benfica,Marvila
110610,110621,31.0,102.0,47.0,180.0,Campolide,Marvila
110611,110621,0.0,19.0,588.0,607.0,Carnide,Marvila
110618,110621,0.0,234.0,786.0,1080.0,Lumiar,Marvila
110621,110621,0.0,6963.0,2335.0,23294.0,Marvila,Marvila
110633,110621,38.0,2060.0,1691.0,4760.0,Olivais,Marvila
110639,110621,0.0,373.0,116.0,501.0,SÃ£o Domingos de Benfica,Marvila
110654,110621,19.0,2039.0,1273.0,4115.0,Alvalade,Marvila
110655,110621,0.0,605.0,74.0,790.0,Areeiro,Marvila
110656,110621,0.0,1279.0,187.0,1499.0,Arroios,Marvila
110657,110621,0.0,468.0,1015.0,1483.0,Avenidas Novas,Marvila
110658,110621,0.0,53.0,19.0,73.0,BelÃ©m,Marvila
110659,110621,0.0,58.0,0.0,58.0,Campo de Ourique,Marvila
110660,110621,0.0,44.0,31.0,75.0,Estrela,Marvila
110661,110621,0.0,649.0,305.0,953.0,MisericÃ³rdia,Marvila
110662,110621,0.0,1135.0,1520.0,2994.0,Parque das NaÃ§Ãµes,Marvila
110663,110621,0.0,816.0,548.0,1638.0,Penha de FranÃ§a,Marvila
110664,110621,0.0,39.0,0.0,39.0,Santa Clara,Marvila
110665,110621,0.0,366.0,360.0,760.0,Santa Maria Maior,Marvila
110666,110621,0.0,25.0,710.0,735.0,Santo AntÃ³nio,Marvila
110667,110621,0.0,53.0,352.0,405.0,SÃ£o Vicente,Marvila
