county,month,rainfall,raindays
Palmela,06/2020,5.1,5
Palmela,07/2020,7.4,4
Palmela,08/2020,2,4
Palmela,09/2020,33.8,7
Palmela,10/2020,97.4,12
Palmela,11/2020,131.1,14
Palmela,12/2020,68.8,20
Palmela,01/2021,44.3,14
Palmela,02/2021,182.7,21
Palmela,03/2021,39.8,7
Seixal,09/2019,3.3,2
Seixal,10/2019,19.1,12
Seixal,11/2019,44.3,23
Seixal,12/2019,43.3,10
Seixal,01/2020,25.5,15
Seixal,02/2020,2.4,4
Seixal,03/2020,29.7,15
Seixal,04/2020,38.6,17
Seixal,05/2020,22.9,8
Seixal,06/2020,2.7,4
Seixal,07/2020,4.7,3
Seixal,08/2020,0.8,2
Seixal,09/2020,22.6,6
Seixal,10/2020,32,12
Seixal,11/2020,51.9,14
Seixal,12/2020,37,20
Seixal,01/2021,25.7,15
Seixal,02/2021,67.1,19
Seixal,03/2021,18.5,5
Sesimbra,09/2019,8.1,2
Sesimbra,10/2019,41.2,11
Sesimbra,11/2019,80.9,23
Sesimbra,12/2019,130.1,11
Sesimbra,01/2020,44.5,17
Sesimbra,02/2020,4.2,5
Sesimbra,03/2020,52.5,14
Sesimbra,04/2020,114,21
Sesimbra,05/2020,74.3,10
Sesimbra,06/2020,5.1,5
Sesimbra,07/2020,7.4,4
Sesimbra,08/2020,2,4
Sesimbra,09/2020,33.8,7
Sesimbra,10/2020,97.4,12
Sesimbra,11/2020,131.1,14
Sesimbra,12/2020,68.8,20
Sesimbra,01/2021,44.3,14
Sesimbra,02/2021,182.7,21
Sesimbra,03/2021,39.8,7
Espinho,09/2019,54.2,8
Espinho,10/2019,211.2,14
Espinho,11/2019,269.5,30
Espinho,12/2019,382,15
Espinho,01/2020,193.1,18
Espinho,02/2020,56.8,10
Espinho,03/2020,106.5,14
Espinho,04/2020,166.4,24
Espinho,05/2020,57.8,13
Espinho,06/2020,33.7,13
Espinho,07/2020,8.2,4
Espinho,08/2020,28.2,5
Espinho,09/2020,54.5,12
Espinho,10/2020,158.9,14
Espinho,11/2020,115.8,18
Espinho,12/2020,240.2,25
Espinho,01/2021,161.5,14
Espinho,02/2021,351.1,21
Espinho,03/2021,14.8,11
Oliveira de Azeméis,09/2019,51.6,8
Oliveira de Azeméis,10/2019,212.2,15
Oliveira de Azeméis,11/2019,296.4,30
Oliveira de Azeméis,12/2019,387.1,15
Oliveira de Azeméis,01/2020,185,18
Oliveira de Azeméis,02/2020,52.3,10
Oliveira de Azeméis,03/2020,117.9,15
Oliveira de Azeméis,04/2020,176.8,26
Oliveira de Azeméis,05/2020,67.4,14
Oliveira de Azeméis,06/2020,34.1,13
Oliveira de Azeméis,07/2020,8.3,5
Oliveira de Azeméis,08/2020,21.3,5
Oliveira de Azeméis,09/2020,59.8,12
Oliveira de Azeméis,10/2020,195.9,14
Oliveira de Azeméis,11/2020,128.8,17
Oliveira de Azeméis,12/2020,283.1,24
Oliveira de Azeméis,01/2021,209.4,15
Oliveira de Azeméis,02/2021,377.1,21
Oliveira de Azeméis,03/2021,16.3,12
São João da Madeira,09/2019,54.2,8
São João da Madeira,10/2019,211.2,14
São João da Madeira,11/2019,269.5,30
São João da Madeira,12/2019,382,15
São João da Madeira,01/2020,193.1,18
São João da Madeira,02/2020,56.8,10
São João da Madeira,03/2020,106.5,14
São João da Madeira,04/2020,166.4,24
São João da Madeira,05/2020,57.8,13
São João da Madeira,06/2020,33.7,13
São João da Madeira,07/2020,8.2,4
São João da Madeira,08/2020,28.2,5
São João da Madeira,09/2020,54.5,12
São João da Madeira,10/2020,158.9,14
São João da Madeira,11/2020,115.8,18
São João da Madeira,12/2020,240.2,25
São João da Madeira,01/2021,161.5,14
São João da Madeira,02/2021,351.1,21
São João da Madeira,03/2021,14.8,11
Vale de Cambra,09/2019,51.6,8
Vale de Cambra,10/2019,212.2,15
Vale de Cambra,11/2019,296.4,30
Vale de Cambra,12/2019,387.1,15
Vale de Cambra,01/2020,185,18
Vale de Cambra,02/2020,52.3,10
Vale de Cambra,03/2020,117.9,15
Vale de Cambra,04/2020,176.8,26
Vale de Cambra,05/2020,67.4,14
Vale de Cambra,06/2020,34.1,13
Vale de Cambra,07/2020,8.3,5
Vale de Cambra,08/2020,21.3,5
Vale de Cambra,09/2020,59.8,12
Vale de Cambra,10/2020,195.9,14
Vale de Cambra,11/2020,128.8,17
Vale de Cambra,12/2020,283.1,24
Vale de Cambra,01/2021,209.4,15
Vale de Cambra,02/2021,377.1,21
Vale de Cambra,03/2021,16.3,12
Arouca,09/2019,51.6,8
Arouca,10/2019,212.2,15
Arouca,11/2019,296.4,30
Arouca,12/2019,387.1,15
Arouca,01/2020,185,18
Arouca,02/2020,52.3,10
Arouca,03/2020,117.9,15
Arouca,04/2020,176.8,26
Arouca,05/2020,67.4,14
Arouca,06/2020,34.1,13
Arouca,07/2020,8.3,5
Arouca,08/2020,21.3,5
Arouca,09/2020,59.8,12
Arouca,10/2020,195.9,14
Arouca,11/2020,128.8,17
Arouca,12/2020,283.1,24
Arouca,01/2021,209.4,15
Arouca,02/2021,377.1,21
Arouca,03/2021,16.3,12
Vila Nova de Gaia,09/2019,49.3,8
Vila Nova de Gaia,10/2019,260,15
Vila Nova de Gaia,11/2019,306.5,30
Vila Nova de Gaia,12/2019,406.5,15
Vila Nova de Gaia,01/2020,228.4,17
Vila Nova de Gaia,02/2020,58.6,10
Vila Nova de Gaia,03/2020,111.1,14
Vila Nova de Gaia,04/2020,163.5,21
Vila Nova de Gaia,05/2020,50,11
Vila Nova de Gaia,06/2020,28.3,11
Vila Nova de Gaia,07/2020,7.2,5
Vila Nova de Gaia,08/2020,34.5,6
Vila Nova de Gaia,09/2020,53.1,12
Vila Nova de Gaia,10/2020,179.9,15
Vila Nova de Gaia,11/2020,123,19
Vila Nova de Gaia,12/2020,326.4,26
Vila Nova de Gaia,01/2021,172.8,15
Vila Nova de Gaia,02/2021,320,21
Vila Nova de Gaia,03/2021,13.3,11
Vila do Conde,09/2019,51.1,8
Vila do Conde,10/2019,215.2,16
Vila do Conde,11/2019,263.7,30
Vila do Conde,12/2019,337.7,13
Vila do Conde,01/2020,219.3,19
Vila do Conde,02/2020,62.6,14
Vila do Conde,03/2020,105.1,14
Vila do Conde,04/2020,150.8,22
Vila do Conde,05/2020,35,11
Vila do Conde,06/2020,16.8,10
Vila do Conde,07/2020,3.3,3
Vila do Conde,08/2020,36.1,6
Vila do Conde,09/2020,41.5,13
Vila do Conde,10/2020,165.1,16
Vila do Conde,11/2020,116.6,16
Vila do Conde,12/2020,302.9,26
Vila do Conde,01/2021,138.5,16
Vila do Conde,02/2021,303.6,22
Vila do Conde,03/2021,12.9,12
Valongo,09/2019,59.4,8
Valongo,10/2019,258.2,14
Valongo,11/2019,303.7,30
Valongo,12/2019,421.9,14
Valongo,01/2020,228.5,17
Valongo,02/2020,59.5,10
Valongo,03/2020,113.6,12
Valongo,04/2020,152.7,21
Valongo,05/2020,60.9,12
Valongo,06/2020,30.9,12
Valongo,07/2020,8.4,4
Valongo,08/2020,37.6,6
Valongo,09/2020,52.7,12
Valongo,10/2020,181.7,15
Valongo,11/2020,122.3,18
Valongo,12/2020,282.8,24
Valongo,01/2021,173.7,14
Valongo,02/2021,343.7,21
Valongo,03/2021,8.5,10
Trofa,09/2019,47.1,8
Trofa,10/2019,271.4,16
Trofa,11/2019,245.2,28
Trofa,12/2019,429,16
Trofa,01/2020,240.5,16
Trofa,02/2020,73.9,14
Trofa,03/2020,134,15
Trofa,04/2020,153.6,21
Trofa,05/2020,54.4,14
Trofa,06/2020,20.3,12
Trofa,07/2020,5.4,4
Trofa,08/2020,35,6
Trofa,09/2020,42.3,12
Trofa,10/2020,128.6,16
Trofa,11/2020,100.4,16
Trofa,12/2020,248.5,24
Trofa,01/2021,130.6,15
Trofa,02/2021,338.2,20
Trofa,03/2021,11,11
Santo Tirso,09/2019,47.1,8
Santo Tirso,10/2019,271.4,16
Santo Tirso,11/2019,245.2,28
Santo Tirso,12/2019,429,16
Santo Tirso,01/2020,240.5,16
Santo Tirso,02/2020,73.9,14
Santo Tirso,03/2020,134,15
Santo Tirso,04/2020,153.6,21
Santo Tirso,05/2020,54.4,14
Santo Tirso,06/2020,20.3,12
Santo Tirso,07/2020,5.4,4
Santo Tirso,08/2020,35,6
Santo Tirso,09/2020,42.3,12
Santo Tirso,10/2020,128.6,16
Santo Tirso,11/2020,100.4,16
Santo Tirso,12/2020,248.5,24
Santo Tirso,01/2021,130.6,15
Santo Tirso,02/2021,338.2,20
Santo Tirso,03/2021,11,11
Póvoa de Varzim,09/2019,51.1,8
Póvoa de Varzim,10/2019,215.2,16
Póvoa de Varzim,11/2019,263.7,30
Póvoa de Varzim,12/2019,337.7,13
Póvoa de Varzim,01/2020,219.3,19
Póvoa de Varzim,02/2020,62.6,14
Póvoa de Varzim,03/2020,105.1,14
Póvoa de Varzim,04/2020,150.8,22
Póvoa de Varzim,05/2020,35,11
Póvoa de Varzim,06/2020,16.8,10
Póvoa de Varzim,07/2020,3.3,3
Póvoa de Varzim,08/2020,36.1,6
Póvoa de Varzim,09/2020,41.5,13
Póvoa de Varzim,10/2020,165.1,16
Póvoa de Varzim,11/2020,116.6,16
Póvoa de Varzim,12/2020,302.9,26
Póvoa de Varzim,01/2021,138.5,16
Póvoa de Varzim,02/2021,303.6,22
Póvoa de Varzim,03/2021,12.9,12
Paredes,09/2019,62.6,8
Paredes,10/2019,258.4,15
Paredes,11/2019,314.5,29
Paredes,12/2019,464.9,16
Paredes,01/2020,216.7,16
Paredes,02/2020,71.8,11
Paredes,03/2020,141.7,16
Paredes,04/2020,192,24
Paredes,05/2020,68.6,14
Paredes,06/2020,41.5,12
Paredes,07/2020,8.5,6
Paredes,08/2020,31.2,7
Paredes,09/2020,60.1,12
Paredes,10/2020,192.5,16
Paredes,11/2020,126.4,19
Paredes,12/2020,304.3,25
Paredes,01/2021,202.7,16
Paredes,02/2021,384,21
Paredes,03/2021,13.1,11
Matosinhos,09/2019,49.2,8
Matosinhos,10/2019,254.1,15
Matosinhos,11/2019,261.7,30
Matosinhos,12/2019,329.9,14
Matosinhos,01/2020,211.5,18
Matosinhos,02/2020,65,12
Matosinhos,03/2020,95.9,13
Matosinhos,04/2020,139.7,22
Matosinhos,05/2020,39.5,13
Matosinhos,06/2020,26,11
Matosinhos,07/2020,4.7,4
Matosinhos,08/2020,43.5,6
Matosinhos,09/2020,50.4,12
Matosinhos,10/2020,152.6,15
Matosinhos,11/2020,99.5,18
Matosinhos,12/2020,303.1,26
Matosinhos,01/2021,135.9,15
Matosinhos,02/2021,262.6,21
Matosinhos,03/2021,14.5,10
Maia,09/2019,49.2,8
Maia,10/2019,254.1,15
