Freguesia;Fevereiro de 2021;Janeiro de 2021;Dezembro de 2020;Novembro de 2020;Outubro de 2020;Setembro de 2020;Agosto de 2020;Julho de 2020;Junho de 2020;Maio de 2020;Abril de 2020;Março de 2020;Fevereiro de 2020;Janeiro de 2020;Dezembro de 2019;Novembro de 2019;Outubro de 2019;Setembro de 2019;Agosto de 2019;Julho de 2019;Junho de 2019;Maio de 2019;Abril de 2019;Março de 2019;Fevereiro de 2019;Janeiro de 2019
1861211: Monforte;405740;418120;579970;516810;555190;524050;579680;600020;571040;463800;403770;495370;513720;504370;636460;571350;546580;511060;641520;588960;561530;545530;505490;515280;440430;436410
1861212: Nisa;1005530;1037650;1486800;1351410;1459960;1343590;1453100;1267490;1126940;1030060;728750;998260;1030750;1014380;1203620;1118870;1163540;1109100;1452300;1236140;1277450;1226210;1190840;1181990;1022120;1045340
1861213: Ponte de Sor;2720860;2771455;4541440;3562575;3735975;3511390;3920325;4081750;3448240;3152770;2347490;3078540;3504235;3515800;4447880;3689660;3867290;3670315;4274685;4254375;3855010;3800210;3639225;3677650;3290995;3317760
1861214: Portalegre;3876320;4239445;6232845;5087760;5305920;5034850;5271755;5757070;5084895;4417145;3248390;4468335;5258475;5375555;6943240;5947605;5990700;5545810;5873890;6209435;5776240;5964730;5495165;5578955;5053190;5218395
1861215: Sousel;702180;752470;1047510;875940;918740;938810;975560;970240;867140;801000;624780;751510;784820;798250;973750;856260;850900;803630;931060;922170;860320;860720;793080;831190;724700;753015
1870701: Alandroal;690500;737490;1018160;936350;906740;846260;917450;999330;816460;762450;640830;695870;709750;511120;804420;771350;813420;768720;874650;878680;775280;792090;748310;762460;666950;686690
1870702: Arraiolos;772370;816750;1263690;1029450;1066430;998040;1052750;1066310;936290;867550;680210;802410;903490;862940;1092250;956980;951050;943180;1057340;1170430;1131790;1123020;1037025;1068360;929380;955475
1870703: Borba;992240;994530;1556360;1215650;1188070;1274845;1294800;1248715;1133675;1056985;856805;1112600;1162255;1179340;1514570;1351435;1263885;1194585;1362875;1389135;1286615;1289220;1187150;1199945;1080020;1097440
1870704: Estremoz;2556290;2700060;4113360;3302260;3605130;3455430;3751160;3649700;3238710;2801050;2069130;2766160;3266510;3134640;3972560;3488080;3417590;3223990;3679520;3611150;3411335;3533560;3228400;3362480;2942845;2943325
1870705: Évora;9687720;10564710;15760005;13310590;13891990;13230325;13508075;14772020;13091745;11207645;8139285;11719305;14137805;14294495;17900980;15651185;15480500;14438935;14494010;16115180;16185750;15979575;14345695;14827150;13311540;13602940
